,E-waste Collection Points,Collection Type,Postal Code,Remarks,Website,Full,lat,lng,color,hover_text
0,54 CHIN SWEE RD,Permanent E-bin,160054,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,54 CHIN SWEE ROAD SINGAPORE,1.2874996,103.8411942,#ff00ff,Permanent E-bin<br>E-waste Collection Points: 54 CHIN SWEE RD<br>Address:  54 CHIN SWEE ROAD SINGAPORE<br>Latitude: 1.2874996<br>Longitude: 103.8411942
1,70 GEYLANG BAHRU,Permanent E-bin,330070,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"70 GEYLANG BAHRU, MAIN ENTRANCE SINGAPORE",1.321912,103.870346,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: 70 GEYLANG BAHRU<br>Address:  70 GEYLANG BAHRU, MAIN ENTRANCE SINGAPORE<br>Latitude: 1.321912<br>Longitude: 103.870346"
2,888 PLAZA,Permanent E-bin,730888,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"888 WOODLANDS DRIVE 50, 888 PLAZA, COMMON CORRIDOR SINGAPORE",1.4371813,103.795289,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: 888 PLAZA<br>Address:  888 WOODLANDS DRIVE 50, 888 PLAZA, COMMON CORRIDOR SINGAPORE<br>Latitude: 1.4371813<br>Longitude: 103.795289"
3,ACE THE PLACE CC,Permanent E-bin,739069,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"120 WOODLANDS AVENUE 1, ACE THE PLACE CC, BESIDE CC OFFICE ENTRANCE SINGAPORE",1.427508,103.7920485,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: ACE THE PLACE CC<br>Address:  120 WOODLANDS AVENUE 1, ACE THE PLACE CC, BESIDE CC OFFICE ENTRANCE SINGAPORE<br>Latitude: 1.427508<br>Longitude: 103.7920485"
4,ALBA E-WASTE SMART RECYCLING PTE LTD,Permanent E-bin,637350,"All regulated e-waste under First Schedule at
https://go.gov.sg/prod-def-sl",https://alba-ewaste.sg,20 TUAS LOOP SINGAPORE,1.32009,103.636444,#ff00ff,Permanent E-bin<br>E-waste Collection Points: ALBA E-WASTE SMART RECYCLING PTE LTD<br>Address:  20 TUAS LOOP SINGAPORE<br>Latitude: 1.32009<br>Longitude: 103.636444
5,ANCHORVALE CC,Permanent E-bin,544965,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"59 ANCHORVALE ROAD, ANCHORVALE COMMUNITY CLUB, MAIN LOBBY SINGAPORE",1.3969181,103.8870828,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: ANCHORVALE CC<br>Address:  59 ANCHORVALE ROAD, ANCHORVALE COMMUNITY CLUB, MAIN LOBBY SINGAPORE<br>Latitude: 1.3969181<br>Longitude: 103.8870828"
6,ANG MO KIO CC,Permanent E-bin,569976,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"ANG MO KIO AVENUE 1, MAIN LOBBY ENTRANCE SINGAPORE",1.3699718,103.8495876,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: ANG MO KIO CC<br>Address:  ANG MO KIO AVENUE 1, MAIN LOBBY ENTRANCE SINGAPORE<br>Latitude: 1.3699718<br>Longitude: 103.8495876"
7,BEDOK INDUSTRIAL PARK E,Permanent E-bin,489978,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"BEDOK INDUSTRIAL PARK E, PAVILION, PAVILION SINGAPORE",1.3366851,103.9490745,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BEDOK INDUSTRIAL PARK E<br>Address:  BEDOK INDUSTRIAL PARK E, PAVILION, PAVILION SINGAPORE<br>Latitude: 1.3366851<br>Longitude: 103.9490745"
8,BEDOK IXORA RC,Permanent E-bin,461051,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"51 NEW UPPER CHANGI ROAD, #01-1500 SINGAPORE",1.323705,103.941309,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BEDOK IXORA RC<br>Address:  51 NEW UPPER CHANGI ROAD, #01-1500 SINGAPORE<br>Latitude: 1.323705<br>Longitude: 103.941309"
9,BEDOK RESERVOIR-PUNGGOL CAPEVIEW RC,Permanent E-bin,531477,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"477A UPPER SERANGOON VIEW, LEVEL 1 SINGAPORE",1.3784387,103.9039318,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BEDOK RESERVOIR-PUNGGOL CAPEVIEW RC<br>Address:  477A UPPER SERANGOON VIEW, LEVEL 1 SINGAPORE<br>Latitude: 1.3784387<br>Longitude: 103.9039318"
10,BOON LAY VIEW RN,Permanent E-bin,640218,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"218D BOON LAY AVE #01-309, DROP OFF AREA SINGAPORE",1.350794,103.7120419,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BOON LAY VIEW RN<br>Address:  218D BOON LAY AVE #01-309, DROP OFF AREA SINGAPORE<br>Latitude: 1.350794<br>Longitude: 103.7120419"
11,BOON LAY ZONE F RN,Permanent E-bin,641674,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"674A, JURONG WEST STREET 65, #01-66, VOID DECK SINGAPORE",1.3448118,103.702205,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BOON LAY ZONE F RN<br>Address:  674A, JURONG WEST STREET 65, #01-66, VOID DECK SINGAPORE<br>Latitude: 1.3448118<br>Longitude: 103.702205"
12,BRADDELL HEIGHTS ZONE B RC,Permanent E-bin,532002,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"2A LORONG LEW LIAN, MULTI STOREY CARPARK, LEVEL 1 SINGAPORE",1.3499376,103.8757983,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BRADDELL HEIGHTS ZONE B RC<br>Address:  2A LORONG LEW LIAN, MULTI STOREY CARPARK, LEVEL 1 SINGAPORE<br>Latitude: 1.3499376<br>Longitude: 103.8757983"
13,BRADDELL HEIGHTS ZONE C RC,Permanent E-bin,550410,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"410 SERANGOON CENTRAL, #01-327 SINGAPORE",1.3477578,103.8736747,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BRADDELL HEIGHTS ZONE C RC<br>Address:  410 SERANGOON CENTRAL, #01-327 SINGAPORE<br>Latitude: 1.3477578<br>Longitude: 103.8736747"
14,BRADDELL HEIGHTS ZONE F RC,Permanent E-bin,550318,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"318, SERANGOON AVE 2, #01-324 SINGAPORE",1.3528004,103.867144,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BRADDELL HEIGHTS ZONE F RC<br>Address:  318, SERANGOON AVE 2, #01-324 SINGAPORE<br>Latitude: 1.3528004<br>Longitude: 103.867144"
15,BRICKLAND MIRAGE QUAD RN,Permanent E-bin,682816,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"816B KEAT HONG LINK, #01-67 SINGAPORE",1.3759146,103.7485678,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BRICKLAND MIRAGE QUAD RN<br>Address:  816B KEAT HONG LINK, #01-67 SINGAPORE<br>Latitude: 1.3759146<br>Longitude: 103.7485678"
16,BUANGKOK SQUARE,Permanent E-bin,530991,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"991 BUANGKOK LINK, LEVEL 1 SINGAPORE",1.3843287,103.8820792,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BUANGKOK SQUARE<br>Address:  991 BUANGKOK LINK, LEVEL 1 SINGAPORE<br>Latitude: 1.3843287<br>Longitude: 103.8820792"
17,BUGIS JUNCTION TOWERS,Permanent E-bin,188024,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"230 VICTORIA STREET, FOUNTAIN LOBBY SINGAPORE",1.2996058,103.8557191,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BUGIS JUNCTION TOWERS<br>Address:  230 VICTORIA STREET, FOUNTAIN LOBBY SINGAPORE<br>Latitude: 1.2996058<br>Longitude: 103.8557191"
18,BUKIT MERAH CC,Permanent E-bin,159465,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,4000 JALAN BUKIT MERAH SINGAPORE,1.2849581,103.8156926,#ff00ff,Permanent E-bin<br>E-waste Collection Points: BUKIT MERAH CC<br>Address:  4000 JALAN BUKIT MERAH SINGAPORE<br>Latitude: 1.2849581<br>Longitude: 103.8156926
19,BUKIT PANJANG CC,Permanent E-bin,678295,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"8 PENDING ROAD, MAIN LOBBY SINGAPORE",1.376001,103.770687,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BUKIT PANJANG CC<br>Address:  8 PENDING ROAD, MAIN LOBBY SINGAPORE<br>Latitude: 1.376001<br>Longitude: 103.770687"
20,BUKIT PANJANG PLAZA,Permanent E-bin,677743,"E-waste accepted: ICT equipment, Batteries and Lamps only",https://alba-ewaste.sg,"1 JELEBU ROAD, BUKIT PANJANG PLAZA, #04-03, SIDE ENTRANCE SINGAPORE",1.3800396,103.7642339,#ff00ff,"Permanent E-bin<br>E-waste Collection Points: BUKIT PANJANG PLAZA<br>Address:  1 JELEBU ROAD, BUKIT PANJANG PLAZA, #04-03, SIDE ENTRANCE SINGAPORE<br>Latitude: 1.3800396<br>Longitude: 103.7642339"
